family_name,Name,Institute
Bartsch,Inka Bartsch,Alfred Wegener Institute
Bischof,Kai Bischof,University of Bremen
Castro de la Guardia,Laura Castro de la Guardia,Norwegian Polar Institute
Comeau,Steeve Comeau,Sorbonne Université
Descamps,Sebastien Descamps,Norwegian Polar Institute
Diehl,Nora Diehl,University of Bremen
Duarte,Pedro Manuel da Silva Duarte,Norwegian Polar Institute
Düsedau,Luisa Düsedau,Alfred Wegener Institute
Gabrielsen,Geir Wing Gabrielsen,Norwegian Polar Institute
Gattuso,Jean-Pierre Gattuso,Sorbonne Université
Gerland,Sebastian Gerland,Norwegian Polar Institute
Holding,Johnna Holding,Aarhus University
Koch,Marie Koch,Alfred Wegener Institute
Kovacs,Kit M. Kovacs,Norwegian Polar Institute
Krause-Jensen,Dorte Krause-Jensen,Aarhus University
Lebel,Julien Lebel,Nordland Research Institute
Miller,Cale miller,Utrecht University
Niedzwiedz,Sarina Niedzwiedz,University of Bremen
Ren,Carina Ren,Aalborg University
Savoie,Amanda Savoie,Canadian Museum of Nature
Soreide,Janne E. Soreide,UNIS
Sveinsdóttir,Anna G. Sveinsdóttir,Nordland Research Institute
Triginer,Victor Gonzalez Triginer,UNIS
Vonnahme,Tobias Vonnahme,GINR
Yang,Yunlan Yang,Shenzhen University
